key,'Fri May 29','Fri Jun 5','Fri Jun 12','Fri Jun 19','Sat Jun 27','Fri Jul 3','Fri Jul 10','Sat Jul 18','Fri Jul 24','Fri Jul 31','Sat Aug 8','Fri Aug 14','Fri Aug 21','Sat Aug 29','Fri Sep 4','Fri Sep 11','Fri Sep 18','Fri Sep 25'
boat1,3,3,3,3,3,3,3,2,4,3,3,3,3,3,4,3,3,3
boat2,4,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,0,0
boat3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boat4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boat5,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
boat6,5,0,5,0,0,0,0,0,0,0,5,5,0,5,5,5,5,5
boat7,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0
boat8,3,3,3,3,3,0,3,3,3,4,4,4,3,4,3,4,0,0
boat9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boat10,0,0,4,4,0,0,4,4,0,3,4,0,0,4,0,4,4,4
boat11,0,0,0,0,0,2,2,2,1,1,0,0,2,0,1,0,0,0
boat12,3,3,3,3,3,3,3,3,3,3,0,2,0,0,0,3,0,0
boat13,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2
boat14,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,4,4
