key,Fri Jun 6,Fri Jun 13,Fri Jun 20,Sat Jun 28,Fri Jul 4,Fri Jul 11,Sat Jul 19,Fri Jul 25,Fri Aug 1,Sat Aug 9,Fri Aug 15,Fri Aug 22,Sat Aug 30,Fri Sep 5,Fri Sep 12,Fri Sep 19,Fri Sep 26
aa,,,boat14,boat10,boat1,,,boat7,,,,,,boat6,,,
ba,,,boat10,boat10,boat2,,,,,,,,,,,boat12,
ca,,,,,,,,,,,,,,,,,
da,,boat14,boat3,,,boat5,,boat10,boat1,,boat8,boat6,,,,,boat6
ea,,,boat14,,,,,,,,boat2,,,,,,boat14
fa,,boat1,,,,,,,,,,,,,,,
ga,,,,boat14,,,boat1,boat12,boat2,,,,,,,,
ha,,,,,boat5,,,,boat8,,,,,,,,
ia,,,,boat5,,,boat10,,,,,,boat5,,,,
ja,,boat14,boat2,,,boat13,,boat14,boat8,,,,,,,,boat6
ka,,boat2,boat14,boat10,,boat14,boat2,boat1,,boat8,,,,boat6,,boat5,
la,,boat8,boat8,boat1,boat7,boat2,,boat10,,,,,,,,boat1,boat14
ma,,boat14,,boat2,,,,,,,,,,,,,
na,,,boat3,,boat3,boat5,,,boat12,,,boat1,,boat6,boat5,boat1,
oa,,,boat2,,boat8,boat14,,boat10,,,,,,,,,
pa,,boat14,boat8,,boat5,,,,,,,,,,,,
qa,,,,,,,,boat5,,,,,,,boat8,,boat10
ra,,,,,,boat1,boat10,,,,,boat8,,,,,
sa,,boat2,boat6,,boat8,,,,,,,,,,,,
ta,,boat9,boat14,boat5,,boat1,,boat8,,,boat1,,boat8,boat5,,boat12,boat6
ua,,boat1,boat2,boat1,,boat11,boat5,boat14,,,,boat6,boat11,,,boat6,boat14
va,,,boat10,boat8,boat13,,boat8,boat1,boat5,,,,boat5,boat8,,boat5,
wa,,,,,,,boat5,boat10,,,,,,,,,
xa,,boat3,,,,,,,,,,,,,,,
ya,,,,boat2,,boat7,,,,,,,,,,,
za,,,,,,,,,,,,,,,,,
ab,,boat2,,,,,boat5,,,,boat8,,,,,,
bb,,boat1,,,,,,boat2,,boat1,,,,,,,
cb,,,,,,boat11,,,,boat11,boat5,,,,,,
db,,,,,,boat14,,,,boat1,boat10,,,,,,
eb,,,boat1,boat14,,,,,,,,,boat1,boat5,,,boat10
fb,,,boat6,,,,,,,,,,,,,,
gb,,,,,,,,,,boat8,,,,,,boat10,
hb,,,,,boat13,,,,,boat1,,,,,,,
ib,,,boat2,,boat5,,,,boat13,,,,,,,,boat13
jb,,boat14,,,,,,,,,,,,,,,
kb,,,boat6,,boat2,boat12,,boat14,,,boat10,boat8,,boat1,,boat8,boat1
lb,,boat9,boat6,boat2,,,boat1,,boat13,boat8,boat1,,,,boat8,,
mb,,boat13,,boat3,boat3,,boat8,,,,,,,,,,
nb,,boat3,boat1,,,,,,boat8,,,boat6,,boat2,boat1,,
ob,,boat2,boat10,,boat8,boat5,,,,,,boat5,,boat1,boat6,boat8,boat14
pb,,boat8,boat1,,,,,,,,,,,,,,
qb,,,boat6,,,boat13,,boat2,boat11,,,,,,,,
rb,,,,,,,,,,,,,,,,,
sb,,,,,boat1,boat2,boat11,,boat1,,,,,,,,
tb,,boat13,boat8,boat1,,,boat2,,boat5,,,boat5,boat1,boat8,boat1,boat8,
ub,,,,,,,boat11,,,boat10,,,,,,,
vb,,,,,,,,,,,,,,,,,
wb,,,,,,,,,boat1,,boat5,boat1,,,boat5,,
xb,,,,,boat2,boat14,,boat5,,,,,,,,,boat1
yb,,,boat10,boat3,,,,boat8,,,,,,boat5,boat8,boat6,
zb,,boat3,,,,,,,boat2,,boat8,,,,boat6,,
ac,,boat8,boat14,boat2,,,,,,,,,,,,,
bc,,,,boat8,,,boat10,boat8,,,boat6,boat8,,,,boat10,boat13
cc,,,,boat5,,,boat2,,,,,boat12,,boat2,boat6,boat6,
dc,,,,,boat7,boat14,boat1,,,,,,boat1,,boat11,,boat1
ec,,,,,,,,,,boat5,,,,,,,
fc,,,,,,,,,,boat10,,,,,,,
gc,,,,,boat2,boat12,,,,,boat10,,,,,,
hc,,,,,,,,,,,,,,,,,
ic,,,boat3,,,boat7,,,boat2,,boat1,,,,,,boat6
jc,,,,boat14,,,boat8,,,,,,,,,,
kc,,,,,boat1,,boat2,boat14,boat1,boat5,boat2,,,,boat6,,boat10
lc,,,,boat14,,,,boat7,boat12,,,,,,,,boat6
mc,,,,,,boat2,,boat2,,,boat1,,,,,,
nc,,,,,boat3,boat1,boat10,boat5,boat5,boat10,boat6,boat1,boat11,boat8,boat1,boat10,
oc,,,,,,boat2,,boat2,,,boat2,,,,,,
pc,,,,,,,,,,,,,,,,,
qc,,,,,,,,boat14,,,,,,,,,
rc,,,,,,,,,,boat5,,,boat8,,,,
sc,,,,,,,,,boat2,,,,,,,,boat10
tc,,,,,,,,,,,,,,,,,
uc,,,,,,,,,,,,,,,,,
vc,,,,,,,,,,,,,,,,,
wc,,,,,,,,,,,boat5,,,,boat5,,
xc,,,,,,,,,,boat8,,,,boat2,boat1,,
